MATRIX,CFG,Compiler,AUTOVEC,DiscardedTscValues,tsc,MACVETH,Scop Skipped,Scop Vect.
test-codes/bibd_15_3.spf.c, AUTOVEC=true ,gcc,true,0.05,22244.63157894737,-1.0,-1.0,-1.0
test-codes/bibd_15_3.spf.c, MACVETH ,gcc,-1,0.05,22327.052631578947,1.0,0.0,41.0
test-codes/football.spf.c, AUTOVEC=true ,gcc,true,0.05,27474.526315789473,-1.0,-1.0,-1.0
test-codes/football.spf.c, MACVETH ,gcc,-1,0.05,33957.36842105263,1.0,0.0,86.0
test-codes/spaceStation_3.spf.c, AUTOVEC=true ,gcc,true,0.0,53486.9,-1.0,-1.0,-1.0
test-codes/spaceStation_3.spf.c, MACVETH ,gcc,-1,0.05,50215.15789473684,1.0,0.0,31.0
test-codes/adder_dcop_06.spf.c, AUTOVEC=true ,gcc,true,0.05,143277.47368421053,-1.0,-1.0,-1.0
test-codes/adder_dcop_06.spf.c, MACVETH ,gcc,-1,0.05,172115.57894736843,1.0,0.0,488.0
test-codes/N_biocarta.spf.c, AUTOVEC=true ,gcc,true,0.05,77526.52631578948,-1.0,-1.0,-1.0
test-codes/N_biocarta.spf.c, MACVETH ,gcc,-1,0.05,84899.26315789473,1.0,0.0,219.0
test-codes/celegans_metabolic.spf.c, AUTOVEC=true ,gcc,true,0.0,65717.2,-1.0,-1.0,-1.0
test-codes/celegans_metabolic.spf.c, MACVETH ,gcc,-1,0.05,81108.94736842105,1.0,0.0,341.0
test-codes/Pd.spf.c, AUTOVEC=true ,gcc,true,0.05,149307.8947368421,-1.0,-1.0,-1.0
test-codes/Pd.spf.c, MACVETH ,gcc,-1,0.05,167584.63157894736,1.0,0.0,359.0
test-codes/3elt_dual.spf.c, AUTOVEC=true ,gcc,true,0.05,488226.5263157895,-1.0,-1.0,-1.0
test-codes/3elt_dual.spf.c, MACVETH ,gcc,-1,0.05,584038.5263157894,1.0,0.0,1934.0
test-codes/G3.spf.c, AUTOVEC=true ,gcc,true,0.05,527587.2631578947,-1.0,-1.0,-1.0
test-codes/G3.spf.c, MACVETH ,gcc,-1,0.05,703040.5263157894,1.0,0.0,2755.0
test-codes/cat_ears_3_4.spf.c, AUTOVEC=true ,gcc,true,0.05,591019.8947368421,-1.0,-1.0,-1.0
test-codes/cat_ears_3_4.spf.c, MACVETH ,gcc,-1,0.05,772294.0,1.0,0.0,3051.0
test-codes/cep1.spf.c, AUTOVEC=true ,gcc,true,0.05,114343.68421052632,-1.0,-1.0,-1.0
test-codes/cep1.spf.c, MACVETH ,gcc,-1,0.05,136243.57894736843,1.0,0.0,486.0
test-codes/circuit_2.spf.c, AUTOVEC=true ,gcc,true,0.05,256679.05263157896,-1.0,-1.0,-1.0
test-codes/circuit_2.spf.c, MACVETH ,gcc,-1,0.05,290777.4736842105,1.0,0.0,887.0
test-codes/deter8.spf.c, AUTOVEC=true ,gcc,true,0.05,314210.0,-1.0,-1.0,-1.0
test-codes/deter8.spf.c, MACVETH ,gcc,-1,0.05,397274.94736842107,1.0,0.0,1007.0
test-codes/l9.spf.c, AUTOVEC=true ,gcc,true,0.05,61920.10526315789,-1.0,-1.0,-1.0
test-codes/l9.spf.c, MACVETH ,gcc,-1,0.05,73473.8947368421,1.0,0.0,109.0
test-codes/rajat13.spf.c, AUTOVEC=true ,gcc,true,0.05,645064.3157894737,-1.0,-1.0,-1.0
test-codes/rajat13.spf.c, MACVETH ,gcc,-1,0.05,684002.2105263158,1.0,0.0,517.0
test-codes/power.spf.c, AUTOVEC=true ,gcc,true,0.05,236020.0,-1.0,-1.0,-1.0
test-codes/power.spf.c, MACVETH ,gcc,-1,0.05,288209.4736842105,1.0,0.0,980.0
